FileName,Plant species1,Species_level,Max_intractions,Plant species2,Family_level,Max_intractions,Plant species3,Functional groups,Max_intractions,Plant species4,Order_level,Max_intractions
M_PL_060_04.csv,Aphloia theiformis,Stomorhina.lunata,29,Sideroxylon cinereum,Calliphoridae,35,Sideroxylon cinereum,Fly,77,Sideroxylon cinereum,Diptera,77
M_PL_051.csv,Aristotelia chilensis,Policana.albopilosa,1069,Aristotelia chilensis,Apidae,1069,Aristotelia chilensis,Bee,1069,Aristotelia chilensis,Hymenoptera,1242
M_PL_073.csv,Asclepias syriaca,Bombus.griseocollis,52,Cephalanthus occidentalis,Apidae,59,Cephalanthus occidentalis,Bee,79,Cephalanthus occidentalis,Hymenoptera,79
M_PL_056.csv,Astilbe thunbergii,Anaspis.funagata,115,Astilbe thunbergii,Scraptiidae,115,Astilbe thunbergii,Bee,161,Astilbe thunbergii,Coleoptera,152
M_PL_059.csv,Byrsonima gardnerana,Centris.caxiensis,2108,Diplopterys pubipetala,Apidae,5336,Diplopterys pubipetala,Bee,5336,Diplopterys pubipetala,Hymenoptera,5336
M_PL_045.csv,Campanula gieseckiana,Acarina,10,Campanula gieseckiana,Scarabaeidae,10,Dryas integrifolia,Fly,11,Dryas integrifolia,Diptera,11
M_PL_061_07.csv,Canthium bibracteatum,Apis.mellifera,44,Canthium bibracteatum,Apidae,44,Canthium bibracteatum,Bee,59,Canthium bibracteatum,Hymenoptera,60
M_PL_061_15.csv,Canthium bibracteatum,Apis.mellifera,42,Canthium bibracteatum,Apidae,42,Canthium bibracteatum,Bee,68,Canthium bibracteatum,Hymenoptera,68
M_PL_061_25.csv,Canthium bibracteatum,Lasioglossum.mahense,9,Ochna kirkii,Apidae,10,Canthium bibracteatum,Bee,17,Canthium bibracteatum,Hymenoptera,17
M_PL_061_28.csv,Canthium bibracteatum,Apis.mellifera,52,Canthium bibracteatum,Apidae,52,Canthium bibracteatum,Bee,69,Canthium bibracteatum,Hymenoptera,69
M_PL_061_31.csv,Canthium bibracteatum,Apis.mellifera,44,Canthium bibracteatum,Apidae,48,Canthium bibracteatum,Bee,74,Canthium bibracteatum,Hymenoptera,75
M_PL_007.csv,Centaurea nigra,Bombus.lapidarius,469,Centaurea nigra,Apidae,547,Centaurea nigra,Bee,547,Centaurea nigra,Hymenoptera,547
M_PL_061_33.csv,Chrysobalanus icaco,Apis.mellifera,6,Chrysobalanus icaco,Apidae,6,Chrysobalanus icaco,Bee,6,Chrysobalanus icaco,Hymenoptera,13
M_PL_061_34.csv,Chrysobalanus icaco,Apis.mellifera,28,Chrysobalanus icaco,Apidae,28,Chrysobalanus icaco,Bee,28,Chrysobalanus icaco,Hymenoptera,28
M_PL_061_38.csv,Chrysobalanus icaco,Apis.mellifera,17,Chrysobalanus icaco,Apidae,17,Nephrosperma vanhoutteanum,Bee,24,Nephrosperma vanhoutteanum,Hymenoptera,24
M_PL_061_39.csv,Chrysobalanus icaco,Apis.mellifera,38,Chrysobalanus icaco,Apidae,38,Nephrosperma vanhoutteanum,Bee,44,Nephrosperma vanhoutteanum,Hymenoptera,43
M_PL_061_40.csv,Chrysobalanus icaco,Apis.mellifera,60,Chrysobalanus icaco,Apidae,60,Chrysobalanus icaco,Bee,61,Chrysobalanus icaco,Hymenoptera,66
M_PL_061_09.csv,Cinnamomum verum,Cratopus.aurostriatus,8,Cinnamomum verum,Curculionidae,8,Erythroxylum sechellarum,Fly,8,Erythroxylum sechellarum,Hymenoptera,10
M_PL_061_35.csv,Cinnamomum verum,Apis.mellifera,22,Cinnamomum verum,Apidae,22,Cinnamomum verum,Bee,24,Cinnamomum verum,Hymenoptera,24
M_PL_025.csv,Claytonia virginica,Bombylius.major,418,Claytonia virginica,Bombyliidae,418,Claytonia virginica,Bee,508,Claytonia virginica,Hymenoptera,508
M_PL_060_06.csv,Coffea macrocarpa,Nacoleia,34,Coffea macrocarpa,Crambidae,34,Coffea macrocarpa,Moth,36,Coffea macrocarpa,Lepidoptera,37
M_PL_041.csv,Cordia martinicensis,Xylocopa,27,Cordia martinicensis,Apidae,41,Cordia martinicensis,Butterfly,61,Cordia martinicensis,Lepidoptera,61
M_PL_061_05.csv,Deckenia nobilis,Apis.mellifera,40,Deckenia nobilis,Apidae,40,Deckenia nobilis,Bee,44,Deckenia nobilis,Hymenoptera,44
M_PL_061_30.csv,Deckenia nobilis,Apis.mellifera,17,Deckenia nobilis,Apidae,17,Nephrosperma vanhoutteanum,Bee,25,Nephrosperma vanhoutteanum,Hymenoptera,25
M_PL_040.csv,Dendropanax arboreus ,Wasmannia.auropunctata,78,Dendropanax arboreus ,Formicidae,108,Dendropanax arboreus ,Butterfly,119,Dendropanax arboreus ,Lepidoptera,119
M_PL_061_19.csv,Dillenia ferruginea,Lasioglossum.mahense,19,Dillenia ferruginea,Halictidae,19,Dillenia ferruginea,Bee,36,Dillenia ferruginea,Hymenoptera,35
M_PL_060_11.csv,Diospyros revaughanii,Apis.mellifera,16,Diospyros revaughanii,Apidae,16,Diospyros revaughanii,Bee,16,Casearia coriacea,Lepidoptera,16
M_PL_060_12.csv,Diospyros revaughanii,Apis.mellifera,13,Diospyros revaughanii,Apidae,13,Syzygium glomeratum,Fly,29,Syzygium glomeratum,Diptera,29
M_PL_061_10.csv,Erythroxylum sechellarum,Lasioglossum.mahense,20,Erythroxylum sechellarum,Halictidae,20,Erythroxylum sechellarum,Bee,20,Erythroxylum sechellarum,Hymenoptera,20
M_PL_061_17.csv,Erythroxylum sechellarum,Lasioglossum.mahense,11,Erythroxylum sechellarum,Halictidae,11,Dillenia ferruginea,Bee,14,Erythroxylum sechellarum,Hymenoptera,14
M_PL_061_47.csv,Erythroxylum sechellarum,Lasioglossum.mahense,21,Erythroxylum sechellarum,Halictidae,21,Nephrosperma vanhoutteanum,Bee,36,Nephrosperma vanhoutteanum,Hymenoptera,36
M_PL_055.csv,Eupatorium lindleyanum,Stomorhina.obsoleta,35,Persicaria thunbergii,Syrphidae,40,Persicaria thunbergii,Fly,65,Persicaria thunbergii,Diptera,65
M_PL_060_20.csv,Gaertnera sp,Nacoleia,9,Gaertnera sp,Crambidae,9,Psiadia terebinthina,Bee,10,Gaertnera sp,Lepidoptera,9
M_PL_060_21.csv,Gaertnera sp,Nacoleia,7,Gaertnera sp,Crambidae,7,Stillingia lineata,Fly,15,Stillingia lineata,Diptera,15
M_PL_061_48.csv,Gastonia crassa,Apis.mellifera,25,Gastonia crassa,Apidae,25,Nephrosperma vanhoutteanum,Bee,28,Nephrosperma vanhoutteanum,Hymenoptera,28
M_PL_060_14.csv,Homalanthus populifolius,Chaetocnema,30,Homalanthus populifolius,Chrysomelidae,30,Sideroxylon cinereum,Fly,48,Sideroxylon cinereum,Diptera,48
M_PL_057.csv,Impatiens textori,Bombus.diversus.diversus,86,Hydrangea macrophylla,Halictidae,92,Deutzia crenata,Bee,204,Deutzia crenata,Hymenoptera,165
M_PL_019.csv,Kunzea muelleri,Leioproctus,185,Kunzea muelleri,Colletidae,185,Kunzea muelleri,Bee,186,Kunzea muelleri,Hymenoptera,186
M_PL_060_07.csv,Labourdonnaisia callophylloides,Technomyrmex.albipes,15,Labourdonnaisia callophylloides,Formicidae,15,Sideroxylon puberulum,Fly,25,Sideroxylon puberulum,Diptera,25
M_PL_060_22.csv,Labourdonnaisia callophylloides,Apis.mellifera,29,Labourdonnaisia callophylloides,Apidae,29,Stillingia lineata,Fly,45,Stillingia lineata,Diptera,45
M_PL_017.csv,Leontodon hispidus,Sphaerophoria.scripta,101,Daucus carota,Syrphidae,207,Daucus carota,Fly,305,Daucus carota,Diptera,305
M_PL_006.csv,Lotus corniculatus,Bombus.terrestris.lucorum,965,Lotus corniculatus,Apidae,1028,Leucanthemum vulgare,Fly,1451,Leucanthemum vulgare,Diptera,1480
M_PL_044.csv,Mallotus japonicus,Stomorhina.obsoleta,53,Mallotus japonicus,Calliphoridae,53,Castanopsis sieboldii,Bee,146,Castanopsis sieboldii,Coleoptera,117
M_PL_061_41.csv,Memecylon eleagni,Apis.mellifera,18,Memecylon eleagni,Apidae,18,Memecylon eleagni,Bee,19,Memecylon eleagni,Hymenoptera,19
M_PL_061_18.csv,Mimusops sechellarum,Lasioglossum.mahense,13,Mimusops sechellarum,Halictidae,13,Dillenia ferruginea,Bee,14,Dillenia ferruginea,Hymenoptera,14
