,Acanthosomatidae,Achilidae,Acroceridae,Adelidae,Aderidae,Agalliidae,Agromyzidae,Agyrtidae,Alydidae,Andrenidae,Anisolabididae,Anthicidae,Anthocoridae,Anthomyidae,Anthomyiidae,Anthribidae,Apataniidae,Aphididae,Aphrophoridae,Apidae,Apionidae,Argidae,Ascidae,Asilidae,Attelabidae,Attevidae,Aulacidae,Berytidae,Bethylidae,Bibionidae,Biblionidae,Bombyliidae,Brachyceridae,Braconidae,Brentidae,Buprestidae,Byrrhidae,Byturidae,Caeciliusidae,Calcinidae,Callidulidae,Calliphoridae,Camptoneuritidae,Canacidae,Cantharidae,Carabidae,Carsidaridae,Cecidomyiidae,Cephidae,Cerambycidae,Ceratopogonidae,Cercopidae,Chalcididae,Chamaemyiidae,Chironomidae,Chloropidae,Choreutidae,Chrysididae,Chrysomelidae,Chrysopidae,Cicadellidae,Cimbicidae,Cixiidae,Cleridae,Clusiidae,Coccinellidae,Coenagrionidae,Colletidae,Conopidae,Coreidae,Corylophidae,Crabronidae,Crambidae,Cryptophagidae,Culicidae,Curculionidae,Cydnidae,Cynipidae,Dasydemellidae,Dasytidae,Deltocephalidae,Derbidae,Dermestidae,Diapriidae,Diastatidae,Dictyopharidae,Dolichopodidae,Drosophilidae,Dryomyzidae,Dryophthoridae,Dytiscidae,Ectobiidae,Elateridae,Elmidae,Empididae,Encyrtidae,Endomychidae,Entomobryidae,Ephemerellidae,Ephydridae,Epicopeiidae,Erebidae,Eriophyidae,Erotylidae,Eulophidae,Eumenidae,Eurytomidae,Evacanthidae,Evaniidae,Fanniidae,Figitidae,Flatidae,Forficulidae,Formicidae,Fulgoridae,Gasteruptiidae,Gelechiidae,Geocoridae,Geometridae,Glaphyridae,Glyphipterigidae,Gracillariidae,Halictidae,Heleomyzidae,Heliozelidae,Heloridae,Hemerobiidae,Hesperiidae,Histeridae,Hybosoridae,Hybotidae,Hydrometridae,Hydrophilidae,Hydropsychidae,Ichneumonidae,Inachoididae,Isotomidae,Kateretidae,Keroplatidae,Lachesillidae,Lampyridae,Lasiocampidae,Latridiidae,Lauxaniidae,Lecithoceridae,Leiodidae,Leucospidae,Libellulidae,Limacodidae,Limnephilidae,Limnoriidae,Limoniidae,Linyphiidae,Lonchaeidae,Lonchopteridae,Lycaenidae,Lycidae,Lycosidae,Lygaeidae,Malachiidae,Masaridae,Megachilidae,Megalopodidae,Melittidae,Meloidae,Melyridae,Membracidae,Microphysidae,Micropterigidae,Milichiidae,Miridae,Mogoplistidae,Mordellidae,Muscidae,Mutillidae,Mycetophilidae,Mycteridae,Mydidae,Mythicomyiidae,Nabidae,Nemestrinidae,Nemopteridae,Nepticulidae,Nitidulidae,Noctuidae,Nogodinidae,Notodontidae,Nymphalidae,Oedemeridae,Oestridae,Orsodacnidae,Oxycarenidae,Pamphiliidae,Panorpidae,Panorpodidae,Papilionidae,Pentatomidae,Perilampidae,Phalacridae,Phlaeothripidae,Phoridae,Pieridae,Piophilidae,Pipunculidae,Plataspidae,Platygastridae,Platypezidae,Platystomatidae,Polleniidae,Pompilidae,Proctotrupidae,Psilidae,Psocidae,Psyllidae,Pteromalidae,Pterophoridae,Ptilodactylidae,Pyralidae,Pyrochroidae,Pyrrhocoridae,Reduviidae,Rhagionidae,Rhiniidae,Rhinophoridae,Rhopalidae,Rhynchitidae,Rhyparochromidae,Ricaniidae,Ripiphoridae,Saldidae,Salpingidae,Sapygidae,Sarcophagidae,Scarabaeidae,Scathophagidae,Scatopsidae,Scelionidae,Scenopinidae,Sciaridae,Sciomyzidae,Scirtidae,Sclerosomatidae,Scoliidae,Scraptiidae,Scutelleridae,Sematuridae,Sepsidae,Sesiidae,Sialidae,Silvanidae,Simuliidae,Sphaeroceridae,Sphecidae,Sphingidae,Staphylinidae,Stathmopodidae,Stenopsocidae,Stenotrachelidae,Stratiomydae,Stratiomyidae,Syrphidae,Tabanidae,Tachinidae,Tenebrionidae,Tenthredinidae,Tephritidae,Tetranychidae,Tettigoniidae,Therevidae,Thomisidae,Thripidae,Thyreocoridae,Tiphiidae,Tipulidae,Tischeriidae,Tortricidae,Torymidae,Trigonidiidae,Triozidae,Trochilidae,Tropiduchidae,Ulidiidae,Vespidae,Xylophagidae,Zygaenidae
Acanthaceae,0,0,0,0,0,0,4,0,0,14,0,3,0,0,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,8,0,2,0,2,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,6,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,13,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0
Achariaceae,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adoxaceae,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aizoaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alismataceae,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alstroemeriaceae,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,14,0,0,0,1,1,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,17,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amaranthaceae,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,1,4,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
Amaryllidaceae,0,0,0,1,0,0,0,0,0,15,0,0,0,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,3,0,0,1,0,0,7,0,0,2,0,0,0,0,0,1,0,0,7,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,1,11,0,1,0,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,1,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,3,37,1,9,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
Anacardiaceae,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annonaceae,1,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,12,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
