,Araneae,Blattodea,Coleoptera,Decapoda,Dermaptera,Diptera,Entomobryomorpha,Ephemeroptera,Grylloblattodea,Hemiptera,Hymenoptera,Isopoda,Lepidoptera,Mecoptera,Megaloptera,Mesostigmata,Neuroptera,Odonata,Opiliones,Orthoptera,Phasia,Psocodea,Thysanoptera,Trichoptera,Trombidiformes
Alismatales,0,0,25,0,0,44,0,0,0,3,59,0,5,0,0,0,0,0,1,0,0,0,0,0,0
Apiales,0,0,164,0,0,411,0,0,0,44,482,1,66,1,0,0,0,0,1,2,0,0,0,0,0
Aquifoliales,0,0,3,0,0,17,0,0,0,1,20,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Arecales,0,0,6,0,0,45,0,0,0,1,32,1,9,0,0,0,0,0,0,0,0,0,0,0,0
Asparagales,0,0,109,1,1,408,0,0,0,15,535,0,114,0,0,0,0,0,0,0,0,0,0,0,1
Asterales,2,1,736,4,1,2228,1,0,0,144,2599,0,525,0,0,1,7,1,6,4,0,2,1,1,3
Boraginales,0,0,96,0,0,134,0,1,0,12,340,0,57,0,0,0,2,0,0,0,0,0,0,0,0
Brassicales,0,0,108,0,0,314,0,0,0,16,416,1,59,0,0,0,1,0,1,0,0,1,0,0,5
Bruniales,0,0,1,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Caryophyllales,0,0,173,0,1,524,0,1,0,37,633,0,104,0,0,0,4,0,1,1,0,3,0,1,0
Celastrales,0,0,24,0,0,32,0,0,0,5,54,0,7,0,0,0,0,0,0,2,0,0,0,0,0
Commelinales,0,0,21,0,0,65,0,0,0,3,54,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Cornales,0,0,108,1,0,290,0,0,0,25,409,0,41,0,0,0,0,0,0,0,0,0,0,0,0
Crossosomatales,0,0,6,0,0,38,0,0,0,1,25,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Cucurbitales,0,0,9,0,0,18,0,0,0,1,47,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Desmoscelis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilleniales,1,0,6,0,0,11,0,0,0,2,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dioscoreales,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipsacales,0,0,72,0,0,249,1,0,0,10,302,2,41,0,0,0,0,0,0,0,0,0,0,0,0
Ericales,0,3,174,0,0,465,0,0,0,34,578,0,88,0,0,0,2,0,0,1,0,0,0,1,0
Fabales,1,0,270,3,0,726,0,0,0,59,933,3,159,0,0,0,0,0,0,0,0,0,0,0,1
Fagales,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garryales,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gentianales,0,0,216,0,0,533,0,0,0,50,756,2,104,1,0,0,1,0,0,0,0,2,0,0,0
Geraniales,0,0,23,0,0,70,0,0,0,5,165,0,21,0,0,0,0,0,1,0,0,0,0,0,0
Lamiales,0,1,427,0,2,1232,0,0,1,73,1493,4,227,2,1,0,6,0,0,1,0,1,1,2,0
Laurales,0,0,26,0,0,55,0,0,0,3,96,0,17,0,0,0,0,0,1,0,0,0,0,0,0
Liliales,2,0,34,0,0,137,0,0,0,5,175,0,32,0,0,0,1,1,0,0,0,0,0,0,1
Magnoliales,0,0,17,0,0,31,0,0,0,6,56,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Malpighiales,6,1,245,0,0,712,0,0,0,37,752,2,148,0,0,0,1,0,0,0,1,0,1,0,0
Malvales,0,0,121,0,1,256,0,0,0,21,357,0,40,0,0,0,2,0,2,0,0,1,0,0,0
Myrtales,0,0,204,0,0,439,0,0,0,30,555,1,93,0,1,0,2,0,1,0,0,1,0,0,1
Nymphaeales,0,0,4,0,0,22,0,0,0,0,17,0,4,0,0,0,0,0,0,0,1,0,0,0,0
Oxalidales,0,0,15,0,0,39,0,0,0,2,82,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Pandanales,0,0,3,0,0,11,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pinales,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Piperales,0,0,2,0,0,21,0,0,0,1,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Poales,0,1,96,1,0,190,0,0,0,20,396,0,79,0,0,0,3,0,0,0,0,0,0,0,1
Proteales,0,0,15,0,0,21,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculales,0,0,107,0,0,313,0,0,0,16,441,1,68,1,0,0,1,0,0,0,0,0,0,0,0
Rosales,3,0,278,0,0,901,0,1,0,46,955,1,169,0,0,0,2,0,0,0,0,0,1,1,2
Santalales,0,0,20,0,0,78,0,0,0,5,66,0,31,0,0,0,1,0,0,0,0,0,0,0,0
Sapindales,0,0,71,0,0,187,0,0,0,9,212,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Saxifragales,1,0,51,0,0,163,0,0,0,6,173,1,27,0,0,0,0,0,0,0,0,0,0,0,0
Solanales,0,0,54,1,0,188,0,0,0,12,256,0,64,0,0,0,0,0,0,0,0,0,0,0,0
Vitales,0,0,23,0,0,35,0,0,0,9,74,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Zingiberales,0,0,35,0,0,68,0,0,0,11,98,1,24,0,0,0,1,0,0,1,0,0,0,0,0
Zygophyllales,0,0,0,0,0,10,0,0,0,2,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0
